"","Species","Genus","Subfamily","Family","Order"
"1","Abalistes stellaris","Abalistes",NA,"Balistidae","Tetraodontiformes"
"2","Abalistes stellatus","Abalistes",NA,"Balistidae","Tetraodontiformes"
"3","Abbottina liaoningensis","Abbottina",NA,"Cyprinidae","Cypriniformes"
"4","Abbottina rivularis","Abbottina",NA,"Cyprinidae","Cypriniformes"
"5","Ablennes hians","Ablennes",NA,"Belonidae","Beloniformes"
"6","Abramis brama","Abramis","Leuciscinae","Cyprinidae","Cypriniformes"
"7","Abudefduf abdominalis","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"8","Abudefduf bengalensis","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"9","Abudefduf concolor","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"10","Abudefduf declivifrons","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"11","Abudefduf hoefleri","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"12","Abudefduf lorenzi","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"13","Abudefduf luridus","Abudefduf",NA,"Pomacentridae","Incertae sedis in Ovalentaria"
"14","Abudefduf margariteus","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"15","Abudefduf notatus","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"16","Abudefduf saxatilis","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"17","Abudefduf septemfasciatus","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"18","Abudefduf sexfasciatus","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"19","Abudefduf sordidus","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"20","Abudefduf sparoides","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"21","Abudefduf taurus","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"22","Abudefduf troschelii","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"23","Abudefduf vaigiensis","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"24","Abudefduf whitleyi","Abudefduf","Glyphisodontinae","Pomacentridae","Incertae sedis in Ovalentaria"
"25","Abyssocottus gibbosus","Abyssocottus",NA,"Cottidae","Perciformes"
"26","Abyssocottus korotneffi","Abyssocottus",NA,"Cottidae","Perciformes"
"27","Acanthalburnus microlepis","Acanthalburnus",NA,"Cyprinidae","Cypriniformes"
"28","Acanthaluteres spilomelanurus","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes"
"29","Acanthaluteres vittiger","Acanthaluteres",NA,"Monacanthidae","Tetraodontiformes"
"30","Acantharchus pomotis","Acantharchus",NA,"Centrarchidae","Centrarchiformes"
"31","Acanthemblemaria aspera","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"32","Acanthemblemaria betinensis","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"33","Acanthemblemaria castroi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"34","Acanthemblemaria chaplini","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"35","Acanthemblemaria crockeri","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"36","Acanthemblemaria exilispinus","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"37","Acanthemblemaria greenfieldi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"38","Acanthemblemaria hancocki","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"39","Acanthemblemaria macrospilus","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"40","Acanthemblemaria maria","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"41","Acanthemblemaria medusa","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"42","Acanthemblemaria paula","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"43","Acanthemblemaria rivasi","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"44","Acanthemblemaria spinosa","Acanthemblemaria",NA,"Chaenopsidae","Blenniiformes"
"45","Acanthicus adonis","Acanthicus","Hypostominae","Loricariidae","Siluriformes"
"46","Acanthistius cinctus","Acanthistius",NA,"Serranidae","Perciformes"
"47","Acanthistius ocellatus","Acanthistius",NA,"Serranidae","Perciformes"
"48","Acanthobrama lissneri","Acanthobrama","Leuciscinae","Cyprinidae","Cypriniformes"
"49","Acanthobrama marmid","Acanthobrama","Leuciscinae","Cyprinidae","Cypriniformes"
"50","Acanthobrama mirabilis","Acanthobrama",NA,"Cyprinidae","Cypriniformes"
"51","Acanthobrama terraesanctae","Acanthobrama",NA,"Cyprinidae","Cypriniformes"
"52","Acanthochaenus luetkenii","Acanthochaenus",NA,"Stephanoberycidae","Beryciformes"
"53","Acanthochromis polyacanthus","Acanthochromis","Pomacentrinae","Pomacentridae","Incertae sedis in Ovalentaria"
"54","Acanthocobitis botia","Acanthocobitis",NA,"Nemacheilidae","Cypriniformes"
"55","Acanthocobitis pavonacea","Acanthocobitis",NA,"Nemacheilidae","Cypriniformes"
"56","Acanthocobitis zonalternans","Acanthocobitis",NA,"Nemacheilidae","Cypriniformes"
"57","Acanthocybium solandri","Acanthocybium","Scombrinae","Scombridae","Scombriformes"
"58","Acanthodoras cataphractus","Acanthodoras","Astrodoradinae","Doradidae","Siluriformes"
"59","Acanthodoras spinosissimus","Acanthodoras","Astrodoradinae","Doradidae","Siluriformes"
"60","Acanthodraco dewitti","Acanthodraco","Gymnodraconinae","Bathydraconidae","Perciformes"
